Fecha,Est1,Est2,Est3
2014-12-18,0.4,,0.0
2014-12-19,0.0,,0.0
2014-12-20,0.0,,0.0
2014-12-21,0.0,,0.0
2014-12-22,0.0,,3.200000000000001
2014-12-23,3.600000000000001,,6.600000000000002
2014-12-24,7.200000000000004,,5.600000000000002
2014-12-25,5.600000000000002,,10.199999999999998
2014-12-26,9.799999999999997,,17.799999999999983
2014-12-27,19.99999999999996,,3.2
2014-12-28,3.400000000000001,,8.799999999999999
2014-12-29,9.999999999999996,,4.400000000000002
2014-12-30,4.000000000000001,,1.2
2014-12-31,2.2,,12.199999999999996
2015-01-01,13.39999999999998,,16.99999999999997
2015-01-02,0.6000000000000001,,5.400000000000002
2015-01-03,11.59999999999999,,11.19999999999999
2015-01-04,7.000000000000004,,13.19999999999999
2015-01-05,22.19999999999995,,21.59999999999996
2015-01-06,9.0,,13.19999999999999
2015-01-07,19.59999999999996,,19.59999999999996
2015-01-08,4.400000000000001,,11.79999999999999
2015-01-09,8.8,,9.2
2015-01-10,20.39999999999996,,23.59999999999995
2015-01-11,6.400000000000003,,10.79999999999999
2015-01-12,0.4,0.0,5.200000000000002
2015-01-13,4.0,2.2,4.4
2015-01-14,0.0,0.0,0.0
2015-01-15,0.0,0.0,0.0
2015-01-16,0.0,0.0,0.0
2015-01-17,0.0,0.0,0.0
2015-01-18,0.0,0.0,0.0
2015-01-19,0.0,0.0,0.0
2015-01-20,0.0,0.2,0.4
2015-01-21,8.200000000000003,15.39999999999998,11.79999999999999
2015-01-22,12.39999999999999,12.99999999999999,9.2
2015-01-23,12.99999999999999,19.39999999999996,15.19999999999998
2015-01-24,25.79999999999994,19.99999999999996,18.39999999999997
2015-01-25,8.600000000000001,2.0,2.0
2015-01-26,10.2,9.799999999999997,8.8
2015-01-27,15.39999999999998,15.59999999999998,10.4
2015-01-28,17.79999999999997,24.39999999999995,20.79999999999996
2015-01-29,7.200000000000004,1.8,1.2
2015-01-30,0.2,0.0,0.0
2015-01-31,7.000000000000004,10.2,8.200000000000003
2015-02-01,7.200000000000004,4.600000000000001,4.400000000000001
2015-02-02,6.200000000000003,5.800000000000002,4.600000000000001
2015-02-03,1.8,19.79999999999996,16.39999999999997
2015-02-04,20.39999999999996,2.2,1.8
2015-02-05,0.8,0.6000000000000001,1.4
2015-02-06,6.200000000000003,4.800000000000002,9.399999999999999
2015-02-07,0.2,0.0,0.0
2015-02-08,16.99999999999997,20.99999999999996,18.59999999999997
2015-02-09,5.800000000000002,4.000000000000001,2.8
2015-02-10,5.400000000000002,3.400000000000001,2.8
2015-02-11,6.800000000000003,24.79999999999994,23.19999999999995
2015-02-12,19.59999999999996,6.200000000000003,6.600000000000003
2015-02-13,2.4,5.400000000000002,1.8
2015-02-14,9.399999999999999,5.800000000000002,3.800000000000001
2015-02-15,4.400000000000001,2.8,3.0
2015-02-16,15.19999999999998,33.99999999999994,17.79999999999997
2015-02-17,35.99999999999997,29.59999999999993,43.80000000000008
2015-02-18,14.19999999999998,1.6,1.2
2015-02-19,0.0,0.0,0.0
2015-02-20,0.0,0.0,0.0
2015-02-21,0.0,0.4,0.0
2015-02-22,18.39999999999997,28.19999999999993,14.59999999999998
2015-02-23,12.79999999999999,0.6000000000000001,8.200000000000003
2015-02-24,13.39999999999998,12.59999999999999,12.19999999999999
2015-02-25,0.8,1.0,0.8
2015-02-26,4.000000000000001,5.000000000000001,3.6
2015-02-27,1.6,2.2,0.6000000000000001
2015-02-28,0.0,0.0,0.0
2015-03-01,0.4,0.0,0.2
2015-03-02,5.800000000000002,6.200000000000003,4.200000000000001
2015-03-03,7.400000000000004,6.400000000000003,7.000000000000004
2015-03-04,5.400000000000002,5.200000000000002,4.400000000000001
2015-03-05,3.200000000000001,3.200000000000001,1.6
2015-03-06,3.200000000000001,4.000000000000001,4.400000000000001
2015-03-07,14.59999999999998,16.19999999999997,14.99999999999998
